Province,Date,Confirmed cases,New,Deaths,Recovered
Blida,17 March 2021,8661,,,
Blida,18 March 2021,8668,,,
Blida,19 March 2021,8676,,,
Blida,20 March 2021,8690,,,
Blida,21 March 2021,8698,,,
Blida,22 March 2021,8706,,,
Blida,23 March 2021,8713,,,
Blida,24 March 2021,8719,,,
Blida,25 March 2021,8725,,,
Blida,26 March 2021,8735,,,
Blida,27 March 2021,8740,,,
Blida,28 March 2021,8742,,,
Blida,29 March 2021,8745,,,
Blida,30 March 2021,8746,,,
Blida,31 March 2021,8754,,,
Blida,01 April 2021,8762,,,
Blida,02 April 2021,8769,,,
Blida,03 April 2021,8778,,,
Blida,04 April 2021,8778,,,
Blida,05 April 2021,8783,,,
Blida,06 April 2021,8789,,,
Blida,07 April 2021,8796,,,
Blida,08 April 2021,8798,,,
Blida,09 April 2021,8805,,,
Blida,10 April 2021,8812,,,
Blida,11 April 2021,8823,,,
Blida,12 April 2021,8830,,,
Blida,13 April 2021,8834,,,
Blida,14 April 2021,8840,,,
Blida,15 April 2021,8853,,,
Blida,16 April 2021,8863,,,
Blida,17 April 2021,8868,,,
Blida,18 April 2021,8875,,,
Blida,19 April 2021,8895,,,
Blida,20 April 2021,8900,,,
Blida,21 April 2021,8914,,,
Blida,22 April 2021,8921,,,
Blida,23 April 2021,8932,,,
Blida,24 April 2021,8944,,,
Blida,25 April 2021,8951,,,
Blida,26 April 2021,8974,,,
Blida,27 April 2021,8983,,,
Blida,28 April 2021,8992,,,
Blida,29 April 2021,8998,,,
Blida,30 April 2021,9019,,,
Blida,01 May 2021,9024,,,
Blida,02 May 2021,9039,,,
Blida,03 May 2021,9054,,,
Blida,04 May 2021,9068,,,
Blida,05 May 2021,9088,,,
Blida,06 May 2021,9098,,,
Blida,07 May 2021,9105,,,
Blida,08 May 2021,9117,,,
Blida,09 May 2021,9118,,,
Blida,10 May 2021,9128,,,
Blida,11 May 2021,9134,,,
Alger,26 March 2020,64,,,
Alger,31 March 2020,125,,,
Alger,01 April 2020,136,,,
Alger,02 April 2020,154,,,
Alger,03 April 2020,183,,,
Alger,04 April 2020,207,,,
Alger,05 April 2020,220,,,
Alger,06 April 2020,238,,,
Alger,08 April 2020,277,,,
Alger,09 April 2020,291,,,
Alger,10 April 2020,310,,,
Alger,11 April 2020,328,,,
Alger,12 April 2020,334,,,
Alger,13 April 2020,354,,,
Alger,14 April 2020,368,,,
Alger,15 April 2020,380,,,
Alger,16 April 2020,410,,,
Alger,17 April 2020,427,,,
Alger,18 April 2020,439,,,
Alger,19 April 2020,445,,,
Alger,20 April 2020,455,,,
Alger,21 April 2020,460,,,
Alger,22 April 2020,461,,,
Alger,23 April 2020,466,,,
Alger,24 April 2020,472,,,
Alger,25 April 2020,472,,,
Alger,26 April 2020,475,,,
Alger,27 April 2020,480,,,
Alger,28 April 2020,494,,,
Alger,29 April 2020,502,,,
Alger,30 April 2020,507,,,
Alger,01 May 2020,517,,,
Alger,02 May 2020,533,,,
Alger,03 May 2020,536,,,
Alger,04 May 2020,543,,,
Alger,05 May 2020,561,,,
Alger,06 May 2020,563,,,
Alger,07 May 2020,602,,,
Alger,08 May 2020,611,,,
Alger,09 May 2020,624,,,
Alger,10 May 2020,631,,,
Alger,11 May 2020,640,,,
Alger,12 May 2020,677,,,
Alger,13 May 2020,709,,,
Alger,14 May 2020,722,,,
Alger,15 May 2020,752,,,
Alger,16 May 2020,784,,,
Alger,17 May 2020,800,,,
Alger,18 May 2020,816,,,
Alger,19 May 2020,829,,,
Alger,20 May 2020,854,,,
Alger,21 May 2020,865,,,
Alger,22 May 2020,883,,,
Alger,23 May 2020,904,,,
Alger,24 May 2020,918,,,
Alger,25 May 2020,954,,,
Alger,26 May 2020,991,,,
Alger,27 May 2020,1010,,,
Alger,28 May 2020,1024,,,
Alger,29 May 2020,1040,,,
Alger,30 May 2020,1050,,,
Alger,31 May 2020,1059,,,
Alger,01 June 2020,1074,,,
Alger,02 June 2020,1083,,,
Alger,03 June 2020,1091,,,
Alger,04 June 2020,1098,,,
Alger,05 June 2020,1111,,,
Alger,06 June 2020,1125,,,
Alger,07 June 2020,1135,,,
Alger,08 June 2020,1144,,,
Alger,09 June 2020,1158,,,
Alger,10 June 2020,1166,,,
Alger,11 June 2020,1177,,,
Alger,12 June 2020,1189,,,
Alger,13 June 2020,1203,,,
Alger,14 June 2020,1212,,,
Alger,15 June 2020,1221,,,
Alger,16 June 2020,1235,,,
Alger,17 June 2020,1245,,,
Alger,18 June 2020,1261,,,
Alger,19 June 2020,1273,,,
Alger,20 June 2020,1288,,,
Alger,21 June 2020,1302,,,
Alger,22 June 2020,1311,,,
Alger,23 June 2020,1327,,,
Alger,24 June 2020,1343,,,
Alger,25 June 2020,1365,,,
Alger,26 June 2020,1380,,,
Alger,27 June 2020,1402,,,
Alger,28 June 2020,1411,,,
Alger,29 June 2020,1433,,,
Alger,30 June 2020,1465,,,
Alger,01 July 2020,1495,,,
Alger,02 July 2020,1535,,,
Alger,03 July 2020,1581,,,
Alger,04 July 2020,1619,,,
Alger,05 July 2020,1639,,,
Alger,06 July 2020,1689,,,
Alger,07 July 2020,1723,,,
Alger,08 July 2020,1757,,,
Alger,09 July 2020,1779,,,
Alger,10 July 2020,1830,,,
Alger,11 July 2020,1877,,,
Alger,12 July 2020,1907,,,
Alger,13 July 2020,1945,,,
Alger,14 July 2020,1981,,,
Alger,15 July 2020,2012,,,
Alger,16 July 2020,2074,,,
Alger,17 July 2020,2154,,,
Alger,18 July 2020,2207,,,
Alger,19 July 2020,2255,,,
Alger,20 July 2020,2336,,,
Alger,21 July 2020,2368,,,
Alger,22 July 2020,2399,,,
Alger,23 July 2020,2515,,,
Alger,24 July 2020,2572,,,
Alger,25 July 2020,2623,,,
Alger,26 July 2020,2717,,,
Alger,27 July 2020,2831,,,
Alger,28 July 2020,2929,,,
Alger,29 July 2020,3007,,,
Alger,30 July 2020,3077,,,
Alger,31 July 2020,3128,,,
Alger,01 August 2020,3174,,,
Alger,02 August 2020,3210,,,
Alger,03 August 2020,3289,,,
Alger,04 August 2020,3341,,,
Alger,05 August 2020,3424,,,
Alger,06 August 2020,3488,,,
Alger,07 August 2020,3528,,,
Alger,08 August 2020,3608,,,
Alger,09 August 2020,3674,,,
Alger,10 August 2020,3719,,,
Alger,11 August 2020,3771,,,
Alger,12 August 2020,3822,,,
Alger,13 August 2020,3865,,,
Alger,14 August 2020,3924,,,
Alger,15 August 2020,3992,,,
Alger,16 August 2020,4038,,,
Alger,17 August 2020,4071,,,
Alger,18 August 2020,4109,,,
Alger,19 August 2020,4144,,,
Alger,20 August 2020,4170,,,
Alger,21 August 2020,4219,,,
Alger,22 August 2020,4254,,,
Alger,23 August 2020,4293,,,
Alger,24 August 2020,4346,,,
Alger,25 August 2020,4423,,,
Alger,26 August 2020,4501,,,
Alger,27 August 2020,4540,,,
Alger,28 August 2020,4600,,,
Alger,29 August 2020,4633,,,
Alger,30 August 2020,4676,,,
Alger,31 August 2020,4718,,,
Alger,01 September 2020,4771,,,
Alger,02 September 2020,4810,,,
Alger,03 September 2020,4848,,,
Alger,04 September 2020,4893,,,
Alger,05 September 2020,4911,,,
Alger,06 September 2020,4944,,,
Alger,07 September 2020,4995,,,
Alger,08 September 2020,5039,,,
Alger,09 September 2020,5078,,,
Alger,10 September 2020,5141,,,
Alger,11 September 2020,5187,,,
Alger,12 September 2020,5220,,,
Alger,13 September 2020,5261,,,
Alger,14 September 2020,5300,,,
Alger,15 September 2020,5327,,,
Alger,16 September 2020,5364,,,
Alger,17 September 2020,5402,,,
Alger,18 September 2020,5432,,,
Alger,19 September 2020,5444,,,
Alger,20 September 2020,5487,,,
Alger,21 September 2020,5524,,,
Alger,22 September 2020,5568,,,
Alger,23 September 2020,5587,,,
Alger,24 September 2020,5613,,,
Alger,25 September 2020,5653,,,
Alger,26 September 2020,5675,,,
Alger,27 September 2020,5695,,,
Alger,28 September 2020,5724,,,
Alger,29 September 2020,5763,,,
Alger,30 September 2020,5790,,,
Alger,01 October 2020,5814,,,
Alger,02 October 2020,5842,,,
Alger,03 October 2020,5862,,,
Alger,04 October 2020,5873,,,
Alger,05 October 2020,5902,,,
Alger,06 October 2020,5930,,,
Alger,07 October 2020,5952,,,
Alger,08 October 2020,5981,,,
Alger,09 October 2020,6002,,,
Alger,10 October 2020,6021,,,
Alger,11 October 2020,6039,,,
Alger,12 October 2020,6070,,,
Alger,13 October 2020,6112,,,
Alger,14 October 2020,6141,,,
Alger,15 October 2020,6184,,,
Alger,16 October 2020,6237,,,
Alger,17 October 2020,6258,,,
Alger,18 October 2020,6287,,,
Alger,19 October 2020,6345,,,
Alger,20 October 2020,6380,,,
Alger,21 October 2020,6422,,,
Alger,22 October 2020,6422,,,
Alger,23 October 2020,6506,,,
Alger,24 October 2020,6536,,,
Alger,25 October 2020,6571,,,
Alger,26 October 2020,6637,,,
Alger,27 October 2020,6677,,,
Alger,28 October 2020,6731,,,
Alger,29 October 2020,6765,,,
Alger,30 October 2020,6863,,,
Alger,31 October 2020,6906,,,
Alger,01 November 2020,6983,,,
Alger,02 November 2020,7026,,,
Alger,03 November 2020,7098,,,
Alger,04 November 2020,7185,,,
Alger,05 November 2020,7285,,,
Alger,06 November 2020,7339,,,
Alger,07 November 2020,7519,,,
Alger,08 November 2020,7625,,,
Alger,09 November 2020,7720,,,
Alger,10 November 2020,7896,,,
Alger,11 November 2020,8033,,,
Alger,12 November 2020,8115,,,
Alger,13 November 2020,8204,,,
Alger,14 November 2020,8311,,,
Alger,15 November 2020,8491,,,
Alger,16 November 2020,8626,,,
Alger,17 November 2020,8843,,,
Alger,18 November 2020,9034,,,
Alger,19 November 2020,9252,,,
Alger,20 November 2020,9433,,,
Alger,21 November 2020,9584,,,
Alger,22 November 2020,9797,,,
Alger,23 November 2020,10049,,,
Alger,24 November 2020,10364,,,
Alger,25 November 2020,10533,,,
Alger,26 November 2020,10772,,,
Alger,27 November 2020,11126,,,
Alger,28 November 2020,11302,,,
Alger,29 November 2020,11579,,,
Alger,30 November 2020,11801,,,
Alger,01 December 2020,11937,,,
Alger,02 December 2020,12136,,,
Alger,03 December 2020,12233,,,
Alger,04 December 2020,12402,,,
Alger,05 December 2020,12574,,,
Alger,06 December 2020,12759,,,
Alger,07 December 2020,12874,,,
Alger,08 December 2020,12991,,,
Alger,09 December 2020,13092,,,
Alger,10 December 2020,13181,,,
Alger,11 December 2020,13261,,,
Alger,12 December 2020,13312,,,
Alger,13 December 2020,13392,,,
Alger,14 December 2020,13468,,,
Alger,15 December 2020,13548,,,
Alger,16 December 2020,13643,,,
Alger,17 December 2020,13721,,,
Alger,18 December 2020,13791,,,
Alger,19 December 2020,13845,,,
Alger,20 December 2020,13910,,,
Alger,21 December 2020,14047,,,
Alger,22 December 2020,14117,,,
Alger,23 December 2020,14175,,,
Alger,24 December 2020,14246,,,
Alger,25 December 2020,14289,,,
Alger,26 December 2020,14337,,,
Alger,27 December 2020,14471,,,
Alger,28 December 2020,14511,,,
Alger,29 December 2020,14588,,,
Alger,30 December 2020,14644,,,
Alger,31 December 2020,14697,,,
Alger,01 January 2021,14747,,,
Alger,02 January 2021,14791,,,
Alger,03 January 2021,14845,,,
Alger,04 January 2021,14904,,,
Alger,05 January 2021,14949,,,
Alger,06 January 2021,14983,,,
Alger,07 January 2021,15027,,,
Alger,08 January 2021,15104,,,
Alger,09 January 2021,15159,,,
Alger,10 January 2021,15193,,,
Alger,11 January 2021,15236,,,
Alger,12 January 2021,15269,,,
Alger,13 January 2021,15328,,,
Alger,14 January 2021,15391,,,
Alger,15 January 2021,15447,,,
Alger,16 January 2021,15493,,,
Alger,17 January 2021,15541,,,
Alger,18 January 2021,15611,,,
Alger,19 January 2021,15657,,,
Alger,20 January 2021,15731,,,
Alger,21 January 2021,15779,,,
Alger,22 January 2021,15834,,,
Alger,23 January 2021,15883,,,
Alger,24 January 2021,15922,,,
Alger,25 January 2021,15981,,,
Alger,26 January 2021,16036,,,
Alger,27 January 2021,16080,,,
Alger,28 January 2021,16137,,,
Alger,29 January 2021,16182,,,
Alger,30 January 2021,16208,,,
Alger,31 January 2021,16248,,,
Alger,01 February 2021,16330,,,
Alger,02 February 2021,16391,,,
Alger,03 February 2021,16439,,,
Alger,04 February 2021,16481,,,
Alger,05 February 2021,16526,,,
Alger,06 February 2021,16544,,,
Alger,07 February 2021,16577,,,
Alger,08 February 2021,16636,,,
Alger,09 February 2021,16670,,,
